ticker,model_version,qv_policy_version,watch_observed_at,qv_status,qv_reason,qv_event,trend_status,trend_reason,trend_event,price,price_asof,financial_asof,fundamentals_asof,entry_status,qv_price_limit,qv_pe,qv_normalized_owner_yield,roe,trend_asof,trend_adjusted_close,trend_ma50,trend_ma200,trend_momentum_6m,trend_benchmark_momentum_6m,trend_relative_6m,trend_benchmark,trend_benchmark_close,trend_observations
WST,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,339.97,2026-09-04T20:01:53+00:00,2026-06-30,2026-09-07T18:03:01.974762+00:00,WAIT_PRICE,103.63416465949946,42.35377570020873,0.0152416631849132,0.1889171292890107,,,,,,,,,,
MTD,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,1345.26,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:03:12.940467+00:00,WAIT_PRICE,806.3742323575617,29.76375237934336,0.0299709436227034,70.62395695235125,,,,,,,,,,
VLTO,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,96.31,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:03:14.730646+00:00,WAIT_PRICE,68.58267805639082,23.76491534963705,0.0356051697935784,0.3190184049079754,,,,,,,,,,
FFIV,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,390.47,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T18:03:28.839367+00:00,WAIT_PRICE,153.6523567921655,30.434840297676534,0.0196753088319417,0.1884235121296128,,,,,,,,,,
SNA,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,383.0,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:04:31.477372+00:00,WAIT_PRICE,353.1706112251669,19.165607518622423,0.0461058239197345,0.1711055567510304,,,,,,,,,,
BR,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,172.88,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:05:26.961854+00:00,WAIT_PRICE,160.92098005476166,17.5312068614257,0.0465412367118121,0.3958318665070759,,,,,,,,,,
NBIX,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,155.64,2026-09-04T20:00:00+00:00,2025-12-31,2026-09-07T18:06:02.916427+00:00,WAIT_PRICE,59.498758024598274,33.05616061178074,0.0191142245003207,0.1295754819146632,,,,,,,,,,
NDSN,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,318.36,2026-09-04T20:00:00+00:00,2026-07-31,2026-09-07T18:06:19.830544+00:00,WAIT_PRICE,191.19976141229617,31.94011532130473,0.0300288606314072,0.1698280759080824,,,,,,,,,,
LOGI,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WATCH,完整交易日趋势通过，需复核当前报价,FIRST_OBSERVATION,102.05,2026-09-04T20:00:00+00:00,2026-06-30,2026-09-07T18:06:28.501343+00:00,WAIT_PRICE,102.55632812913696,18.24564281745967,0.050248078456216,0.3405424482671378,2026-09-04T00:00:00+00:00,102.0500030517578,101.12600006103516,100.7161500930786,0.1278203480708495,0.1201908141361998,0.0076295339346497,^GSPC,7718.60009765625,378.0
MLI,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,63.74,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:06:30.157136+00:00,WAIT_PRICE,54.085411344163326,16.57609574791256,0.0424265856166954,0.2397316609118455,,,,,,,,,,
LECO,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,276.44,2026-09-04T20:00:01+00:00,2026-06-30,2026-09-07T18:06:50.456297+00:00,WAIT_PRICE,165.92127910690257,27.21984351604585,0.0300103601336461,0.3561691695942555,,,,,,,,,,
RMBS,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_PRICE_WAIT,质量通过，但价格超过20倍盈利或5%正常化Owner FCF收益率约束,FIRST_OBSERVATION,NOT_ELIGIBLE,先满足质量与合理估值条件,FIRST_OBSERVATION,85.46,2026-09-04T20:00:00+00:00,2026-06-30,2026-09-07T18:07:10.061527+00:00,WAIT_PRICE,33.92122131381823,38.67293263134361,0.0198462563268302,0.1634190360540521,,,,,,,,,,
CSL,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,352.14,2026-09-04T20:00:02+00:00,2026-06-30,2026-09-07T18:07:23.012935+00:00,WAIT_PRICE,363.95102465758725,19.350955273792717,0.0595926958238345,0.4468835023497403,2026-09-04T00:00:00+00:00,352.1400146484375,355.79146850585937,349.2659550476074,-0.0258425161665739,0.1201908141361998,-0.1460333303027737,^GSPC,7718.60009765625,378.0
DECK,MOS_Radar_V6.8.0,1,2026-09-07T18:46:16.323253+00:00,QUALITY_WATCH,通过质量门槛及合理估值初始规则；不等于厚安全边际或买入指令,FIRST_OBSERVATION,TREND_WAIT,长均线或相对强度未同时通过；若此前持有，应复核趋势理由,FIRST_OBSERVATION,85.81,2026-09-04T20:00:03+00:00,2026-06-30,2026-09-07T18:07:30.707861+00:00,WAIT_PRICE,121.48964506129364,11.514883939039418,0.070789910885266,0.4409123414963491,2026-09-04T00:00:00+00:00,85.80999755859375,97.18780029296876,102.55145000457765,-0.128106879763189,0.1201908141361998,-0.2482976938993888,^GSPC,7718.60009765625,378.0
