ticker,name,source,market_cap,avg_volume,last_price
AXGN,"Axogen, Inc. - Common Stock",nasdaq,2169123489.645752,1052875.0,40.790000915527344
DRH,Diamondrock Hospitality Company - Common Stock,nasdaq,2167600342.60697,2146909.0,10.600000381469727
ADPT,Adaptive Biotechnologies Corporation - Common Stock,nasdaq,2167001061.574791,1921555.0,13.539999961853027
ALRM,"Alarm.com Holdings, Inc. - Common Stock",nasdaq,2162416749.136688,480483.0,43.720001220703125
EFSC,Enterprise Financial Services Corporation - Common Stock,nasdaq,2161855223.032551,276440.0,59.09000015258789
CMPR,Cimpress plc - Ordinary Shares,nasdaq,2143328286.54953,129909.0,88.44999694824219
CENTA,Central Garden & Pet Company - Class A Common Stock Nonvoting,nasdaq,2141172133.7603455,298132.0,34.220001220703125
ESTA,Establishment Labs Holdings Inc. - Common Shares,nasdaq,2104272885.0,535688.0,71.5
CHRN,ChronoScale Corporation - Common Stock,nasdaq,2064122048.2178965,119413.0,14.425000190734863
DHC,Diversified Healthcare Trust  - Common Shares of Beneficial Interest,nasdaq,2038540335.3912926,1971657.0,8.420000076293945
CLBK,"Columbia Financial, Inc. - Common Stock",nasdaq,2024539023.0583363,271137.0,19.440000534057617
AUPH,Aurinia Pharmaceuticals Inc - Common Shares,nasdaq,2021618302.460351,1141898.0,15.720000267028809
ANAB,"AnaptysBio, Inc. - Common Stock",nasdaq,1976533210.554657,841988.0,67.91999816894531
BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",nasdaq,1965397457.7642136,1714678.0,20.15999984741211
AGYS,"Agilysys, Inc. - Common Stock",nasdaq,1941998682.2945251,304721.0,69.08999633789062
ASTH,Astrana Health Inc. - Common Stock,nasdaq,1882682441.9866333,491377.0,37.970001220703125
CAPR,"Capricor Therapeutics, Inc. - Common Stock",nasdaq,1845099231.735752,1310614.0,31.899999618530273
ALKT,"Alkami Technology, Inc. - Common Stock",nasdaq,1842870102.795765,1963019.0,17.219999313354492
ADMA,ADMA Biologics Inc - Common Stock,nasdaq,1826369020.7242823,7144081.0,7.880000114440918
ADUS,Addus HomeCare Corporation - Common Stock,nasdaq,1825228462.1281128,258732.0,97.79000091552734
ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",nasdaq,1789441761.9658356,370436.0,78.70999908447266
CRML,Critical Metals Corp. - Ordinary Shares,nasdaq,1773947478.578991,12078550.0,12.09000015258789
CASH,"Pathward Financial, Inc. - Common Stock",nasdaq,1768809768.1868134,240086.0,83.79000091552734
ECPG,Encore Capital Group Inc - Common Stock,nasdaq,1765189159.218567,329549.0,82.33000183105469
CHCO,City Holding Company - Common Stock,nasdaq,1709849958.3816833,119988.0,121.16999816894531
CLOV,"Clover Health Investments, Corp.  - Class A Common stock",nasdaq,1685389861.9142656,5749203.0,3.200000047683716
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",nasdaq,1664610322.298029,1065973.0,27.989999771118164
AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",nasdaq,1654452409.6842642,1074080.0,14.880000114440918
ARDX,"Ardelyx, Inc. - Common Stock",nasdaq,1632864281.0519814,3993532.0,6.610000133514404
ALMR,"Alamar Biosciences, Inc. - Class A common stock",nasdaq,1628829071.756792,614929.0,23.8799991607666
BL,"BlackLine, Inc. - Common Stock",nasdaq,1613175217.5,1224162.0,27.5
ABCL,AbCellera Biologics Inc. - Common Shares,nasdaq,1602640971.75,4711926.0,5.25
BAND,Bandwidth Inc. - Class A Common Stock,nasdaq,1599264509.0772667,714411.0,49.95000076293945
BLKB,"Blackbaud, Inc. - Common Stock",nasdaq,1578227190.1947327,587818.0,34.36000061035156
ENVX,Enovix Corporation - Common Stock,nasdaq,1564185945.7830195,5798863.0,7.179999828338623
AHCO,AdaptHealth Corp.  - Common Stock,nasdaq,1529248637.339676,1545818.0,11.239999771118164
AIP,"Arteris, Inc.  - Common Stock",nasdaq,1527048483.5722275,590444.0,33.130001068115234
APPN,Appian Corporation - Class A Common Stock,nasdaq,1507150874.0081024,975736.0,20.530000686645508
BCAX,Bicara Therapeutics Inc. - Common Stock,nasdaq,1503560485.404911,560245.0,22.920000076293945
CNOB,"ConnectOne Bancorp, Inc. - Common Stock",nasdaq,1495076903.5997543,353842.0,29.729999542236328
BRAI,Braiin Limited - Common Stock,nasdaq,1485896131.741642,141867.0,7.210000038146973
ATAI,AtaiBeckley Inc. - Common Stock,nasdaq,1482344245.8432312,5780865.0,4.039999961853027
DMRA,"Damora Therapeutics, Inc. - Common Stock",nasdaq,1468986281.1261597,317083.0,24.360000610351562
ALGT,Allegiant Travel Company - Common Stock,nasdaq,1463552029.5604706,496796.0,79.37999725341797
AVAH,Aveanna Healthcare Holdings Inc. - Common Stock,nasdaq,1433391242.9193993,1236470.0,6.590000152587891
CNXC,Concentrix Corporation - Common Stock,nasdaq,1417752142.2771034,1710585.0,23.239999771118164
CSWC,Capital Southwest Corporation - Common Stock,nasdaq,1416214005.8799744,664578.0,23.540000915527344
CSIQ,Canadian Solar Inc. - Common Shares,nasdaq,1346161997.2700272,2505659.0,19.850000381469727
AVBP,"ArriVent BioPharma, Inc. - Common Stock",nasdaq,1345612208.0657883,492739.0,29.020000457763672
ARRY,"Array Technologies, Inc. - Common Stock",nasdaq,1342904209.5238724,5987150.0,8.729999542236328
ATRC,"AtriCure, Inc. - Common Stock",nasdaq,1331857472.364006,773749.0,26.299999237060547
CRVS,"Corvus Pharmaceuticals, Inc. - Common Stock",nasdaq,1329469638.7257462,1269131.0,15.8100004196167
ASST,"Strive, Inc. - Class A Common Stock",nasdaq,1310770642.1624565,3606883.0,17.950000762939453
CMPS,COMPASS Pathways Plc - American Depository Shares,nasdaq,1302009745.2808475,4462285.0,9.649999618530273
ELE,Elemental Royalty Corporation - Common Stock,nasdaq,1293460503.9147491,310193.0,20.1299991607666
BHRB,Burke & Herbert Financial Services Corp. - Common Stock,nasdaq,1270646794.0315475,113255.0,63.060001373291016
ADTN,"ADTRAN Holdings, Inc. - Common Stock",nasdaq,1270050232.7186584,2191893.0,15.680000305175781
ABTC,American Bitcoin Corp. - Class A Common Stock,nasdaq,1264985774.7761035,15191573.0,1.190000057220459
DSGR,"Distribution Solutions Group, Inc. - Common Stock",nasdaq,1260204132.9197025,144877.0,27.280000686645508
